prompt_id,prompt_text,category,complexity
1,A delicate creek streaming over smooth pebbles amid a forest,nature,medium
2,Busy metropolis avenue alongside conveyance warning sounds as well as folk dialoguing,urban,high
3,Storm hitting over a galvanized metal roof throughout a thunderstorm,weather,medium
4,Snapping fire including occasional pops together with hisses,nature,low
5,Zephyr chimes wavering throughout a light breeze covering a porch,ambient,low
6,Waves colliding on a rocky seaboard in the course of sundown,nature,medium
7,Orchestra gearing up prior to a classical concert,music,high
8,Juveniles engaging within a play area accompanied by laughter plus hollers,human,medium
9,Creaking wooden floors throughout an old forsaken house,horror,medium
10,Helicopter flying above ground gradually fading heading to distance,mechanical,medium
11,Birds singing among a spring morning garden,nature,medium
12,Coffee shop ambience together with subdued conversations in addition to espresso contrivance,social,medium
13,Typewriter keys clacking rapidly with random bell ring,mechanical,medium
14,"Thunder rumbling throughout the distance, slowly approaching",weather,medium
15,Cat purring while sleeping across a windowsill,animals,low
16,Sand crunching underfoot upon a desert walk,nature,low
17,Draft howling throughout a narrow mountain pass,weather,medium
18,Submarine sonar pings among profound marine environment waters,mechanical,medium
19,Pages of a book being slowly turned in a quiet library,ambient,low
20,Stadium multitude cheering after a goal or touchdown,social,high
21,Glass breaking as it hits a hard floor,effects,low
22,Grandfather timer sounding as well as chiming for midnight,mechanical,medium
23,Rain forest ambience plus exotic bird calls together with insects,nature,high
24,Teeming food venue with dishes clattering and background chatter,social,high
25,Horse galloping across an open field,animals,medium
26,Spaceship powerplant buzzing at a constant frequency,sci-fi,medium
27,Metro passing by featuring whistle blowing,transportation,medium
28,Saxophone solo within a smoky jazz club,music,medium
29,Whispering voices in an empty corridor,horror,medium
30,Sparking radio static with occasional voice fragments,communication,medium
31,Bubbling brook featuring feathered creatures singing throughout background,nature,medium
32,Whale song echoing across waters depths,animals,medium
33,Laser gun battle with energy weapons firing,sci-fi,high
34,Heartbeat monitor beeping steadily among hospital room,medical,low
35,Unstable wooden ship rocking atop soft swells,historical,medium
36,Howling wolf in a moonlit forest,animals,medium
37,Typing covering a mechanical key interface plus clicky switches,technology,low
38,Historic vinyl record alongside crinkling and snaps,vintage,low
39,Sizzling food on a hot grill or pan,cooking,low
40,Church bells resounding within a faint village,cultural,medium
41,Morning danger signal horologe clanging persistently,everyday,low
42,Rotary aircraft blades whirring during takeoff,transportation,medium
43,Ice cream truck melody running down a suburban boulevard,nostalgic,medium
44,Air current rustling across autumn fronds,nature,medium
45,Paces running on concrete during the rain,action,medium
46,Computer server room featuring multiple fans buzzing,technology,medium
47,Gentle rainfall on a tent inside the wilderness,nature,medium
48,Airport terminal announcements and isolated conversations,travel,high
49,Medieval battle accompanied by sword clangs and shield impacts,historical,high
50,Haunting theremin music amidst an empty ballroom,eerie,medium
51,Robot servos in addition to mechanical movements,sci-fi,medium
52,Propeller airplane engine starting and accelerating,transportation,medium
53,Thunderous applause among a concert hall,social,medium
54,Bowling ball hitting pins during a bowling alley,sports,medium
55,Squeaky door slowly opening within a dark house,horror,low
56,Dial-up internet connection sounds,nostalgic,medium
57,Crowded swimming pool with splashing coupled with hilarity,social,medium
58,Antique music box playing a lullaby,vintage,medium
59,Chainsaw cutting through wood,tools,medium
60,Motorcycle engine revving loudly,transportation,medium
61,Blender mixing a smoothie on high speed,everyday,low
62,Bamboo blast chimes during a Japanese garden,cultural,low
63,Ping pong ball bouncing atop a table,sports,low
64,Howling blizzard alongside intense draft,weather,medium
65,Crinkling fire pit together with humans quietly talking,social,medium
66,Distant foghorn atop a misty ocean,nautical,medium
67,Cicadas twittering on a hot summer evening,nature,medium
68,Arcade game sounds from the 1980s,nostalgic,medium
69,Babbling brook featuring frogs croaking,nature,medium
70,Air movement by way of pine trees amid a mountain forest,nature,medium
71,Medieval tavern accompanied by music and chatter,historical,high
72,Industrial factory accompanied by machinery whirring,industrial,high
73,Deliberate dripping water amidst a cave,nature,low
74,Clock tower striking twelve during midnight,ambient,medium
75,Busy hospital emergency room ambience,medical,high
76,Dog barking excitedly as someone arrives home,animals,low
77,Soothing meditation bowl being struck,spiritual,low
78,Giant creature stomping via a forest,fantasy,medium
79,Grandfather telling a bedtime story,human,medium
80,Fireworks exploding throughout the distance,celebration,medium
81,Windshield wipers squeaking covering rainy drive,transportation,low
82,Bustling farmers fair plus vendors calling out,social,high
83,Antique film projector clicking in addition to whirring,vintage,medium
84,Bees buzzing around a flowering garden,nature,medium
85,Alien spacecraft landing including strange emissions,sci-fi,high
86,School bell ringing together with hallway commotion,everyday,medium
87,Peaceful night crickets plus infrequent owl hoots,nature,medium
88,Casino slot machines dinging also paying out coins,entertainment,high
89,Foot falls crunching through fresh snow,weather,low
90,Microwave oven buzzing plus beeping,everyday,low
91,Distant crash throughout a gentle rainfall shower,weather,medium
92,Straining rocking chair covering an old porch,nostalgic,low
93,Church organ playing a somber hymn,spiritual,medium
94,Spitting bonfire with people singing folk songs,social,medium
95,Seagulls calling over a harbor together with boat bells,nautical,medium
96,Horse-drawn carriage on cobblestone streets,historical,medium
97,Motor car driving through puddles after rainfall,transportation,medium
98,Aged grandfather timer marking time inside a quiet room,vintage,low
99,Windshield wipers covering high while strong downpour,transportation,medium
100,Glass draft chimes tinkling in a soft breeze,ambient,low
101,Bubbling cauldron among a witch's cabin,fantasy,medium
102,Peaceful country morning including roosters crowing,rural,medium
103,Steel drums playing a Caribbean melody,music,medium
104,Water dripping in an echoing cavern,nature,medium
105,Fast-paced typing on a laptop key set,technology,low
106,Snapping of a vintage vinyl record before music,vintage,low
107,Baby laughing as well as cooing happily,human,low
108,Marching band practicing in a far-off field,music,high
109,Intense thunderstorm including close lightning strikes,weather,high
110,Construction site together with jackhammers in addition to machinery,industrial,high
111,Bowling ball rolling down lane and hitting pins,sports,medium
112,Mild night downpour accompanied by frogs croaking,nature,medium
113,Tennis match together with grunts also ball hits,sports,medium
114,Dinner party with clinking glasses and chatter,social,medium
115,Chalk writing above an old blackboard,nostalgic,low
116,Summer picnic with detached amusement coupled with breeze,social,medium
117,Timeworn western saloon featuring piano and boot steps,historical,medium
118,Skateboarder riding across concrete plus jumps,sports,medium
119,Medieval blacksmith hammering hot metal,historical,medium
120,Dog panting after playing fetch within a park,animals,low
121,Scuba diving comprising respiration apparatus bubbles,adventure,medium
122,Winter night with air movement whistling through trees,weather,medium
123,Secluded metro whistle across open countryside,transportation,medium
124,Automatic sprinklers starting amidst a garden,everyday,low
125,Smartphone tolling among an empty work setting,ambient,low
126,Retro video game sounds from an arcade,nostalgic,medium
127,Clocks counting while different tempos amid a clock shop,ambient,medium
128,Heavy precipitation hitting a canvas tent,weather,medium
129,Orchestra tuning prior to a performance,music,high
130,Autumn vegetation crunching underfoot,nature,low
131,Timeworn cash register opening featuring bell ring,vintage,low
132,Elevator doors opening alongside closing with ding,everyday,low
133,Bacon sizzling during a frying pan,cooking,low
134,Cricket match together with bat hits also assembly reactions,sports,medium
135,Whale breaching the aquatic realm surface featuring splash,animals,medium
136,Space station ambient buzzing also beeps,sci-fi,medium
137,Youngsters engaging amid snow accompanied by amusement,human,medium
138,Bagpipes playing a traditional Scottish tune,cultural,medium
139,Ballroom dance plus orchestra plus foot falls,social,high
140,Pulse slowly increasing amid pace,medical,low
141,Wolves howling within a moonlit timberland,animals,medium
142,Summer rainstorm approaching together with distant thunder,weather,medium
143,Monastery bells calling for prayer,spiritual,medium
144,Crystal glasses clinking among a toast,celebration,low
145,Tennis ball appliance firing balls repeatedly,sports,medium
146,Vinyl record needle drop accompanied by initial crackle,vintage,low
147,Old steam locomotive chugging together with whistling,transportation,medium
148,Whispering wind by way of tall grass prairie,nature,medium
149,Fox hunt plus warning sounds in addition to galloping horses,historical,high
150,Cat meowing for attention or food,animals,low
151,Electric bass guitar working a funky riff,music,medium
152,Walking amidst deep snow with squeaky footsteps,weather,low
153,Sci-fi processor terminal plus typing and beeps,sci-fi,medium
154,Quill pen scratching atop parchment,historical,low
155,Detached siren progressively getting closer,emergency,medium
156,Business space environment comprising typing in addition to phone calls,workplace,medium
157,Fantasy tavern with bards running and patrons talking,fantasy,high
158,Ice cracking atop a frozen lake,nature,medium
159,Small rivulet bubbling over rocks in a meadow,nature,medium
160,Basketball bouncing covering court plus squeaking shoes,sports,medium
161,Delicate waters surf amid night comprising far-off lighthouse foghorn,nautical,medium
162,Popping fire pit alongside storyteller speaking softly,social,medium
163,Medieval jousting tournament including gathering cheers,historical,high
164,Purring cat sleeping above a windowsill amid rain,animals,medium
165,Desert air movement blowing sand against tent canvas,nature,medium
